x,y
699.0,0.0022
698.0,0.0022
697.0,0.0022
696.0,0.0021
695.0,0.0022
694.0,0.0023
693.0,0.0023499999999999997
692.0,0.0024
691.0,0.0022
690.0,0.0022
689.0,0.0022500000000000003
688.0,0.0023
687.0,0.0023
686.0,0.0024
685.0,0.0024
684.0,0.0024
683.0,0.0026
682.0,0.0026
681.0,0.0026
680.0,0.0024
679.0,0.0024
678.0,0.0024
677.0,0.0023
676.0,0.0024
675.0,0.0024
674.0,0.0024
673.0,0.0024
672.0,0.0027
671.0,0.0027
670.0,0.00265
669.0,0.0026
668.0,0.0026
667.0,0.0026
666.0,0.0026
665.0,0.0026
664.0,0.0026
663.0,0.0027
662.0,0.00265
661.0,0.0026
660.0,0.0028
659.0,0.0027
658.0,0.0027
657.0,0.0027
656.0,0.0027
655.0,0.0027
654.0,0.0028
653.0,0.0026
652.0,0.0027
651.0,0.0027
650.0,0.0027
649.0,0.0026
648.0,0.0027
647.0,0.0028
646.0,0.0027
645.0,0.0027
644.0,0.0024
643.0,0.0024
642.0,0.0024
641.0,0.0024999999999999996
640.0,0.0026
639.0,0.0027
638.0,0.0028
637.0,0.0029
636.0,0.0029
635.0,0.0029
634.0,0.0029
633.0,0.0028
632.0,0.0028
631.0,0.0028
630.0,0.0028
629.0,0.0029
628.0,0.0029
627.0,0.0029
626.0,0.0029
625.0,0.0027
624.0,0.0028
623.0,0.0027
622.0,0.00275
621.0,0.0028
620.0,0.0028
619.0,0.0028
618.0,0.0028
617.0,0.0026
616.0,0.00265
615.0,0.0027
614.0,0.0029
613.0,0.0029
612.0,0.0029
611.0,0.0031
610.0,0.0031
609.0,0.0028
608.0,0.0029
607.0,0.0028
606.0,0.0028
605.0,0.0028
604.0,0.0028
603.0,0.0029
602.0,0.0028
601.0,0.00275
600.0,0.0027
599.0,0.0027
598.0,0.0027
597.0,0.0028
596.0,0.0028
595.0,0.0027
594.0,0.0028
593.0,0.0028
592.0,0.0029
591.0,0.0028
590.0,0.0028
589.0,0.0028
588.0,0.0028
587.0,0.0031
586.0,0.0029
585.0,0.0028
584.0,0.0026
583.0,0.0027
582.0,0.0028
581.0,0.0027
580.0,0.0026
579.0,0.0026
578.0,0.0024
577.0,0.0027
576.0,0.0026
575.0,0.0026
574.0,0.0027
573.0,0.0026
572.0,0.0026
571.0,0.0027
570.0,0.0028
569.0,0.0028
568.0,0.0024
567.0,0.0026
566.0,0.0029
565.0,0.0026
564.0,0.0026
563.0,0.0027
562.0,0.0027
561.0,0.0027
560.0,0.0026
559.0,0.0027
558.0,0.0027
557.0,0.0027
556.0,0.0028
555.0,0.0027
554.0,0.0028
553.0,0.0029
552.0,0.0032
551.0,0.0033
550.0,0.0034
549.0,0.0035
548.0,0.0038
547.0,0.0037
546.0,0.0035
545.0,0.0038
544.0,0.0042
543.0,0.0045
542.0,0.0048
541.0,0.0049
540.0,0.0052
539.0,0.0054
538.0,0.0059
537.0,0.0061
536.0,0.0018
535.0,0.0019
534.0,0.002
533.0,0.0018
532.0,0.0018
531.0,0.0017499999999999998
530.0,0.0017
529.0,0.0017
528.0,0.0017
527.0,0.0017
526.0,0.0016
525.0,0.0016
524.0,0.0016
523.0,0.0016
522.0,0.0015
521.0,0.0016
520.0,0.0017
519.0,0.0016
518.0,0.0016
517.0,0.0015
516.0,0.0016
515.0,0.0016
514.0,0.0015
513.0,0.0015
512.0,0.0015
511.0,0.0015
510.0,0.0015
509.0,0.00135
508.0,0.0012
507.0,0.0013
506.0,0.0015
505.0,0.0015
504.0,0.0015
503.0,0.0015
502.0,0.0013
